사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-09,1호선,0150,서울역,753,35,"11,376","10,334","32,529","62,503","105,429","134,137","169,793","262,118","120,800","179,302","105,419","104,372","108,975","95,923","122,220","104,996","116,266","103,708","106,080","97,255","122,816","112,530","151,041","126,188","236,554","154,646","261,505","183,403","142,252","122,023","104,218","86,720","103,751","83,200","69,927","60,274","33,814","29,456","4,658","7,703",13,173,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0151,시청,78,5,"1,832","6,166","4,039","35,164","7,843","91,024","11,334","224,375","15,339","99,634","19,629","51,420","24,469","46,852","26,091","41,354","33,854","43,245","41,980","35,146","57,658","30,051","71,569","27,874","108,827","30,678","175,786","26,837","68,116","13,900","60,945","9,744","52,377","8,756","32,788","6,304","10,419","3,512",651,991,1,29,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0152,종각,111,5,"3,898","6,419","4,435","39,583","7,420","129,864","11,794","290,190","14,833","149,681","20,927","64,031","30,532","60,962","35,830","54,000","44,703","54,017","57,265","45,034","70,305","40,421","89,716","43,893","170,309","51,269","236,309","52,634","101,004","26,314","88,715","14,340","86,935","10,647","61,776","7,641","25,817","4,454","2,171","1,324",1,2,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0153,종로3가,227,11,"4,314","3,807","4,605","14,452","7,348","28,980","11,628","69,136","16,332","65,326","22,753","56,456","33,609","65,795","45,443","62,557","47,635","56,849","57,978","51,045","64,685","44,169","73,449","43,731","88,315","41,904","94,801","40,102","57,121","20,914","48,088","12,457","48,778","10,675","37,906","8,452","16,860","5,128","1,752","2,332",4,22,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0154,종로5가,73,1,"1,995","4,823","3,307","18,539","6,866","45,382","11,805","96,790","17,027","67,243","27,930","60,472","39,242","61,820","45,723","55,249","52,388","52,252","61,195","50,528","64,474","42,297","71,196","41,029","93,320","37,016","94,743","33,543","50,403","20,437","35,009","11,985","29,995","8,511","19,250","6,784","5,815","4,282",394,"1,143",0,4,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0155,동대문,535,13,"12,099","1,984","9,918","7,427","17,438","12,154","24,011","20,554","22,384","22,572","19,350","23,086","19,941","25,520","22,751","23,849","24,527","24,654","26,088","23,321","26,787","23,447","28,408","23,378","27,780","23,950","25,027","24,785","19,397","23,660","16,862","16,839","14,765","15,837","11,790","15,247","5,832","10,017",978,"3,111",5,349,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0156,신설동,454,10,"9,125","2,340","10,625","9,290","24,255","27,377","35,323","58,887","23,836","34,383","20,714","21,277","21,868","19,374","23,324","18,977","24,807","20,780","23,658","19,058","25,928","21,632","31,661","23,076","44,246","27,384","53,907","33,389","21,114","23,993","15,699","16,994","13,334","16,523","8,764","14,710","3,794","9,200",478,"2,787",0,0,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0157,제기동,343,3,"5,283","2,646","9,704","10,050","24,278","23,449","33,570","41,565","24,816","34,880","27,156","41,252","35,418","46,175","39,026","45,497","40,736","47,002","43,611","43,389","46,815","37,724","45,846","35,422","44,810","28,491","38,556","27,940","21,473","18,588","13,653","12,522","8,499","11,629","5,357","9,881","2,135","6,039",151,"1,529",0,0,0,0,0,0,2025-10-03 10:13:02
2025-09,1호선,0158,청량리(서울시립대입구),"1,216",46,"11,608","3,196","20,284","12,039","54,063","19,907","62,719","42,923","38,812","43,584","35,930","45,251","41,770","52,388","48,027","52,874","49,971","54,606","52,772","52,803","58,036","51,434","61,991","52,444","58,381","55,056","50,149","64,625","28,844","41,081","21,734","25,416","17,272","24,015","10,533","21,065","4,630","12,224",332,"4,135",0,0,0,1,0,0,2025-10-03 10:13:02
2025-09,1호선,0159,동묘앞,202,4,"2,934",890,"4,096","5,669","9,623","11,460","15,217","24,533","12,422","17,090","13,713","21,522","17,598","28,112","23,766","29,302","30,243","34,755","30,790","29,100","32,564","25,121","33,498","19,892","31,318","15,389","21,737","13,692","11,011","9,773","6,386","6,693","5,346","7,211","3,749","6,944","1,285","4,829",171,"2,095",0,289,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0201,시청,15,0,"1,111","2,716","2,364","25,492","5,681","86,320","10,004","247,667","16,226","99,568","23,093","35,534","28,235","29,707","27,059","29,372","32,897","32,120","39,351","26,663","49,854","23,495","62,303","22,281","119,603","25,005","188,138","25,110","67,185","13,700","51,358","9,178","44,613","8,941","26,702","7,153","9,820","4,389","1,435","1,457",3,54,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0202,을지로입구,82,2,"2,837","2,932","5,105","35,210","11,782","142,678","20,008","360,560","31,305","173,406","37,339","95,538","46,206","78,047","52,294","69,238","64,122","72,365","73,970","65,259","87,179","64,056","109,532","68,740","191,187","78,566","295,030","79,882","143,263","52,425","133,042","35,870","90,561","29,388","72,259","22,286","31,895","11,805","4,449","4,225",6,900,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0203,을지로3가,11,0,"1,356","2,075","2,918","25,506","7,498","82,187","15,959","183,073","22,321","74,572","25,843","33,912","27,442","29,116","27,319","28,553","30,141","30,482","34,810","27,411","38,926","28,404","51,833","33,878","102,328","41,595","149,855","49,641","60,840","31,362","46,316","19,809","48,177","16,679","41,247","14,095","22,889","8,432","4,193","2,151",3,99,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0204,을지로4가,7,0,"1,208","1,239","2,675","15,000","6,452","38,437","13,840","81,650","16,560","42,043","19,821","26,366","22,048","25,025","22,121","22,591","23,517","23,020","25,937","21,572","29,980","20,034","35,906","19,919","66,313","20,988","72,744","21,742","30,731","15,918","19,852","11,471","16,416","10,846","11,306","10,535","5,640","6,099","1,208","1,865",2,38,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0205,동대문역사문화공원(DDP),214,11,"4,610","1,089","4,076","9,521","7,847","23,893","14,645","50,266","18,343","35,466","19,402","32,875","21,518","31,340","24,379","30,965","25,502","33,260","29,369","34,389","36,110","33,552","43,682","33,430","50,640","37,382","50,998","42,576","34,628","37,520","29,513","27,605","26,327","22,394","19,275","18,478","10,977","10,668","2,608","3,793",7,157,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0206,신당,42,1,"5,866","1,240","12,312","7,634","33,912","16,217","57,503","31,405","31,732","22,815","21,713","18,544","20,828","20,441","23,140","20,547","23,210","22,544","22,873","22,339","23,683","26,197","26,826","31,167","31,324","42,466","34,140","59,830","23,197","39,487","18,606","25,094","16,672","22,054","15,549","20,180","7,319","12,004","1,596","3,909",1,57,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0207,상왕십리,7,0,"6,341",927,"15,400","6,210","45,926","13,068","69,789","31,550","39,590","18,872","24,488","14,674","20,354","13,943","22,214","15,109","21,252","17,206","19,079","18,680","20,280","22,807","23,188","27,461","26,113","38,684","27,781","58,993","18,920","39,750","12,421","26,115","10,576","23,178","7,513","22,317","3,031","12,927",462,"4,254",0,28,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0208,왕십리(성동구청),578,8,"6,473",902,"10,462","7,645","29,810","15,448","50,096","29,509","31,360","22,456","21,687","17,568","20,680","17,927","24,316","19,918","24,258","21,274","23,947","21,309","27,873","23,700","33,875","28,481","37,696","39,833","37,684","60,744","25,398","37,763","23,581","25,030","25,235","21,730","24,598","21,567","14,933","13,448","3,359","5,577",6,141,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0209,한양대,2,0,"1,271",702,"3,143","9,985","6,632","17,677","10,294","81,445","8,017","64,563","10,530","58,622","17,282","20,551","20,650","44,593","24,140","30,767","30,422","23,389","38,624","18,110","51,212","14,520","61,687","19,959","51,131","25,851","25,287","13,004","21,056","8,350","22,231","7,519","15,628","7,013","10,202","4,582","1,756","1,546",0,31,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0210,뚝섬,14,0,"3,829","2,297","9,538","15,719","21,407","44,944","28,457","150,036","18,875","107,573","16,543","49,243","19,681","39,627","24,073","39,057","28,115","40,951","33,814","36,530","42,532","37,578","54,479","39,179","89,891","45,578","145,174","55,844","77,250","31,655","53,951","18,145","46,126","14,398","28,507","12,875","10,086","7,570","1,553","2,875",2,63,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0211,성수,151,5,"5,362","5,555","9,281","38,701","22,385","81,444","28,759","268,317","24,342","183,617","24,233","123,904","31,479","111,493","43,638","112,297","59,274","118,192","75,704","114,056","100,451","111,079","129,665","105,192","195,350","102,057","300,068","99,514","173,409","57,744","134,961","28,399","113,500","19,294","73,612","15,219","24,900","10,478","3,547","5,783",1,"1,001",0,0,0,0,2025-10-03 10:13:02
